taxonID,scientificName,kingdom,phylum,class,order,family,genus,species,rank,status
83,Chlorobi,Bacteria,Bacteroidota,,,,,,PHYLUM,SYNONYM
84,Chloroflexi,Bacteria,Chloroflexota,,,,,,PHYLUM,SYNONYM
85,Dictyoglomi,Bacteria,Dictyoglomota,,,,,,PHYLUM,SYNONYM
87,Firmicutes,Bacteria,Firmicutes,,,,,,PHYLUM,ACCEPTED
88,Fusobacteria,Bacteria,Fusobacteriota,,,,,,PHYLUM,SYNONYM
90,Planctomycetes,Bacteria,Planctomycetota,,,,,,PHYLUM,SYNONYM
91,Rotifera,Animalia,Rotifera,,,,,,PHYLUM,ACCEPTED
94,Chytridiomycota,Fungi,Chytridiomycota,,,,,,PHYLUM,ACCEPTED
95,Ascomycota,Fungi,Ascomycota,,,,,,PHYLUM,ACCEPTED
96,Zygomycota,Fungi,Zygomycota,,,,,,PHYLUM,ACCEPTED
97,Choanozoa,Protozoa,Choanozoa,,,,,,PHYLUM,ACCEPTED
98,Ochrophyta,Chromista,Ochrophyta,,,,,,PHYLUM,ACCEPTED
103,Cycadophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
104,Prasinophyta,Plantae,Chlorophyta,Prasinophyceae,,,,,PHYLUM,SYNONYM
105,Porifera,Animalia,Porifera,,,,,,PHYLUM,ACCEPTED
106,Rhodophyta,Plantae,Rhodophyta,,,,,,PHYLUM,ACCEPTED
108,Platyhelminthes,Animalia,Platyhelminthes,,,,,,PHYLUM,ACCEPTED
110,Brachiopoda,Animalia,Brachiopoda,,,,,,PHYLUM,ACCEPTED
111,Proteobacteria,Bacteria,Proteobacteria,,,,,,PHYLUM,ACCEPTED
112,Spirochaetes,Bacteria,Spirochaetota,,,,,,PHYLUM,SYNONYM
116,Lobosa,Protozoa,Amoebozoa,Lobosa,,,,,CLASS,ACCEPTED
118,Zoomastigophora,Protozoa,Sarcomastigophora,Zoomastigophora,,,,,CLASS,ACCEPTED
119,Myxini,Animalia,Chordata,Myxini,,,,,CLASS,ACCEPTED
120,Holocephali,Animalia,Chordata,Holocephali,,,,,CLASS,ACCEPTED
121,Elasmobranchii,Animalia,Chordata,Elasmobranchii,,,,,CLASS,ACCEPTED
125,Marchantiopsida,Plantae,Marchantiophyta,Marchantiopsida,,,,,CLASS,ACCEPTED
126,Jungermanniopsida,Plantae,Marchantiophyta,Jungermanniopsida,,,,,CLASS,ACCEPTED
127,Haplomitriopsida,Plantae,Marchantiophyta,Haplomitriopsida,,,,,CLASS,ACCEPTED
131,Amphibia,Animalia,Chordata,Amphibia,,,,,CLASS,ACCEPTED
132,Anthocerotopsida,Plantae,Anthocerotophyta,Anthocerotopsida,,,,,CLASS,ACCEPTED
133,Mesotardigrada,Animalia,Tardigrada,Mesotardigrada,,,,,CLASS,ACCEPTED
134,Eutardigrada,Animalia,Tardigrada,Eutardigrada,,,,,CLASS,ACCEPTED
136,Cephalopoda,Animalia,Mollusca,Cephalopoda,,,,,CLASS,ACCEPTED
137,Bivalvia,Animalia,Mollusca,Bivalvia,,,,,CLASS,ACCEPTED
139,Phylactolaemata,Animalia,Bryozoa,Phylactolaemata,,,,,CLASS,ACCEPTED
140,Eoacanthocephala,Animalia,Acanthocephala,Eoacanthocephala,,,,,CLASS,ACCEPTED
142,Bolidophyceae,Chromista,Ochrophyta,Bolidophyceae,,,,,CLASS,ACCEPTED
143,Pauropoda,Animalia,Arthropoda,Pauropoda,,,,,CLASS,ACCEPTED
144,Cestoda,Animalia,Platyhelminthes,Cestoda,,,,,CLASS,ACCEPTED
145,Protosteliomycetes,Protozoa,Mycetozoa,Protosteliomycetes,,,,,CLASS,ACCEPTED
146,Hexactinellida,Animalia,Porifera,Hexactinellida,,,,,CLASS,ACCEPTED
147,Blastocladiomycetes,Fungi,Blastocladiomycota,Blastocladiomycetes,,,,,CLASS,ACCEPTED
148,Ustilaginomycetes,Fungi,Basidiomycota,Ustilaginomycetes,,,,,CLASS,ACCEPTED
149,Tremellomycetes,Fungi,Basidiomycota,Tremellomycetes,,,,,CLASS,ACCEPTED
150,Microbotryomycetes,Fungi,Basidiomycota,Microbotryomycetes,,,,,CLASS,ACCEPTED
151,Exobasidiomycetes,Fungi,Basidiomycota,Exobasidiomycetes,,,,,CLASS,ACCEPTED
152,Cystobasidiomycetes,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,CLASS,ACCEPTED
153,Cryptomycocolacomycetes,Fungi,Basidiomycota,Cryptomycocolacomycetes,,,,,CLASS,ACCEPTED
154,Classiculomycetes,Fungi,Basidiomycota,Classiculomycetes,,,,,CLASS,ACCEPTED
155,Atractiellomycetes,Fungi,Basidiomycota,Atractiellomycetes,,,,,CLASS,ACCEPTED
156,Glomeromycetes,Fungi,Glomeromycota,Glomeromycetes,,,,,CLASS,ACCEPTED
157,Dictyochophyceae,Chromista,Ochrophyta,Dictyochophyceae,,,,,CLASS,ACCEPTED
158,Phascolosomatidea,Animalia,Sipuncula,Phascolosomatidea,,,,,CLASS,ACCEPTED
159,Sipunculidea,Animalia,Sipuncula,Sipunculidea,,,,,CLASS,ACCEPTED
160,Halobacteria,Archaea,Halobacteriota,Halobacteria,,,,,CLASS,ACCEPTED
161,Methanococci,Archaea,Methanobacteriota_A,Methanococci,,,,,CLASS,ACCEPTED
162,Methanomicrobia,Archaea,Halobacteriota,Methanomicrobia,,,,,CLASS,ACCEPTED
163,Methanopyri,Archaea,Methanobacteriota_A,Methanopyri,,,,,CLASS,ACCEPTED
165,Actinobacteria,Bacteria,Actinobacteriota,Actinomycetia,,,,,CLASS,SYNONYM
168,Chlorobia,Bacteria,Bacteroidota,Chlorobia,,,,,CLASS,ACCEPTED
169,Chrysiogenetes,Bacteria,Chrysiogenota,Chrysiogenetes,,,,,CLASS,ACCEPTED
171,Deinococci,Bacteria,Deinococcota,Deinococci,,,,,CLASS,ACCEPTED
172,Mollicutes,Bacteria,Firmicutes,Bacilli,,,,,CLASS,SYNONYM
175,Pararotatoria,Animalia,Rotifera,Pararotatoria,,,,,CLASS,ACCEPTED
176,Cubozoa,Animalia,Cnidaria,Cubozoa,,,,,CLASS,ACCEPTED
178,Eurotiomycetes,Fungi,Ascomycota,Eurotiomycetes,,,,,CLASS,ACCEPTED
179,Leotiomycetes,Fungi,Ascomycota,Leotiomycetes,,,,,CLASS,ACCEPTED
180,Lecanoromycetes,Fungi,Ascomycota,Lecanoromycetes,,,,,CLASS,ACCEPTED
181,Orbiliomycetes,Fungi,Ascomycota,Orbiliomycetes,,,,,CLASS,ACCEPTED
182,Saccharomycetes,Fungi,Ascomycota,Saccharomycetes,,,,,CLASS,ACCEPTED
183,Dothideomycetes,Fungi,Ascomycota,Dothideomycetes,,,,,CLASS,ACCEPTED
184,Taphrinomycetes,Fungi,Ascomycota,Taphrinomycetes,,,,,CLASS,ACCEPTED
186,Agaricomycetes,Fungi,Basidiomycota,Agaricomycetes,,,,,CLASS,ACCEPTED
190,Sphagnopsida,Plantae,Bryophyta,Sphagnopsida,,,,,CLASS,ACCEPTED
191,Bryopsidophyceae,Plantae,Chlorophyta,Ulvophyceae,,,,,CLASS,SYNONYM
192,Pedinophyceae,Plantae,Chlorophyta,Pedinophyceae,,,,,CLASS,ACCEPTED
193,Pleurastrophyceae,Plantae,Chlorophyta,Pleurastrophyceae,,,,,CLASS,ACCEPTED
194,Pinopsida,Plantae,Tracheophyta,Pinopsida,,,,,CLASS,ACCEPTED
195,Ulvophyceae,Plantae,Chlorophyta,Ulvophyceae,,,,,CLASS,ACCEPTED
196,Liliopsida,Plantae,Tracheophyta,Liliopsida,,,,,CLASS,ACCEPTED
197,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,CLASS,ACCEPTED
198,Bangiophyceae,Plantae,Rhodophyta,Bangiophyceae,,,,,CLASS,ACCEPTED
199,Demospongiae,Animalia,Porifera,Demospongiae,,,,,CLASS,ACCEPTED
200,Euglenida,Protozoa,Euglenozoa,Euglenoidea,,,,,CLASS,SYNONYM
203,Maxillopoda,Animalia,Arthropoda,Maxillopoda,,,,,CLASS,ACCEPTED
205,Hydrozoa,Animalia,Cnidaria,Hydrozoa,,,,,CLASS,ACCEPTED
206,Anthozoa,Animalia,Cnidaria,Anthozoa,,,,,CLASS,ACCEPTED
207,Thaliacea,Animalia,Chordata,Thaliacea,,,,,CLASS,ACCEPTED
209,Lingulata,Animalia,Brachiopoda,Lingulata,,,,,CLASS,ACCEPTED
210,Rhynchonellata,Animalia,Brachiopoda,Rhynchonellata,,,,,CLASS,ACCEPTED
211,Appendicularia,Animalia,Chordata,,,,,,CLASS,SYNONYM
212,Aves,Animalia,Chordata,Aves,,,,,CLASS,ACCEPTED
213,Eucycliophora,Animalia,Cycliophora,Eucycliophora,,,,,CLASS,ACCEPTED
214,Asteroidea,Animalia,Echinodermata,Asteroidea,,,,,CLASS,ACCEPTED
215,Crinoidea,Animalia,Echinodermata,Crinoidea,,,,,CLASS,ACCEPTED
216,Insecta,Animalia,Arthropoda,Insecta,,,,,CLASS,ACCEPTED
218,Thermodesulfobacteria,Bacteria,Desulfobacterota,Thermodesulfobacteria,,,,,CLASS,ACCEPTED
219,Verrucomicrobiae,Bacteria,Verrucomicrobiota,Verrucomicrobiae,,,,,CLASS,ACCEPTED
220,Magnoliopsida,Plantae,Tracheophyta,Magnoliopsida,,,,,CLASS,ACCEPTED
221,Echinoidea,Animalia,Echinodermata,Echinoidea,,,,,CLASS,ACCEPTED
222,Holothuroidea,Animalia,Echinodermata,Holothuroidea,,,,,CLASS,ACCEPTED
224,Nuda,Animalia,Ctenophora,Nuda,,,,,CLASS,ACCEPTED
225,Gastropoda,Animalia,Mollusca,Gastropoda,,,,,CLASS,ACCEPTED
226,Stenolaemata,Animalia,Bryozoa,Stenolaemata,,,,,CLASS,ACCEPTED
228,Cycadopsida,Plantae,Tracheophyta,Cycadopsida,,,,,CLASS,ACCEPTED
229,Malacostraca,Animalia,Arthropoda,Malacostraca,,,,,CLASS,ACCEPTED
230,Schizocladiophyceae,Chromista,Ochrophyta,Schizocladiophyceae,,,,,CLASS,ACCEPTED
232,Haplosporea,Protozoa,,Haplosporea,,,,,CLASS,ACCEPTED
233,Filosia,Protozoa,,Filosia,,,,,CLASS,ACCEPTED
234,Acantharia,Protozoa,,Acantharia,,,,,CLASS,ACCEPTED
235,Cephalocarida,Animalia,Arthropoda,Cephalocarida,,,,,CLASS,ACCEPTED
236,Remipedia,Animalia,Arthropoda,Remipedia,,,,,CLASS,ACCEPTED
237,Phytomastigophora,Protozoa,Sarcomastigophora,Phytomastigophora,,,,,CLASS,ACCEPTED
240,Diplura,Animalia,Arthropoda,Diplura,Diplura,,,,ORDER,ACCEPTED
241,Leiosporocerotopsida,Plantae,Anthocerotophyta,Leiosporocerotopsida,,,,,CLASS,ACCEPTED
244,Ginkgoopsida,Plantae,Tracheophyta,Ginkgoopsida,,,,,CLASS,ACCEPTED
245,Lycopodiopsida,Plantae,Tracheophyta,Lycopodiopsida,,,,,CLASS,ACCEPTED
247,Heterotardigrada,Animalia,Tardigrada,Heterotardigrada,,,,,CLASS,ACCEPTED
252,Gymnolaemata,Animalia,Bryozoa,Gymnolaemata,,,,,CLASS,ACCEPTED
253,Archiacanthocephala,Animalia,Acanthocephala,Archiacanthocephala,,,,,CLASS,ACCEPTED
254,Palaeacanthocephala,Animalia,Acanthocephala,Palaeacanthocephala,,,,,CLASS,ACCEPTED
255,Clitellata,Animalia,Annelida,Clitellata,,,,,CLASS,ACCEPTED
256,Polychaeta,Animalia,Annelida,Polychaeta,,,,,CLASS,ACCEPTED
257,Cryptophyceae,Chromista,Cryptophyta,Cryptophyceae,,,,,CLASS,ACCEPTED
258,Prymnesiophyceae,Chromista,Haptophyta,Prymnesiophyceae,,,,,CLASS,ACCEPTED
266,Phytomyxea,Chromista,Cercozoa,Phytomyxea,,,,,CLASS,ACCEPTED
267,Neocallimastigomycetes,Fungi,Neocallimastigomycota,Neocallimastigomycetes,,,,,CLASS,ACCEPTED
268,Monoblepharidomycetes,Fungi,Chytridiomycota,Monoblepharidomycetes,,,,,CLASS,ACCEPTED
269,Wallemiomycetes,Fungi,Basidiomycota,Wallemiomycetes,,,,,CLASS,ACCEPTED
270,Pucciniomycetes,Fungi,Basidiomycota,Pucciniomycetes,,,,,CLASS,ACCEPTED
271,Mixiomycetes,Fungi,Basidiomycota,Mixiomycetes,,,,,CLASS,ACCEPTED
272,Entorrhizomycetes,Fungi,Basidiomycota,Entorrhizomycetes,,,,,CLASS,ACCEPTED
273,Dacrymycetes,Fungi,Basidiomycota,Dacrymycetes,,,,,CLASS,ACCEPTED
274,Agaricostilbomycetes,Fungi,Basidiomycota,Agaricostilbomycetes,,,,,CLASS,ACCEPTED
276,Scaphopoda,Animalia,Mollusca,Scaphopoda,,,,,CLASS,ACCEPTED
277,Enteropneusta,Animalia,Hemichordata,Enteropneusta,,,,,CLASS,ACCEPTED
278,Pterobranchia,Animalia,Hemichordata,Pterobranchia,,,,,CLASS,ACCEPTED
281,Branchiopoda,Animalia,Arthropoda,Branchiopoda,,,,,CLASS,ACCEPTED
282,Gnetopsida,Plantae,Tracheophyta,Gnetopsida,,,,,CLASS,ACCEPTED
284,Dictyosteliomycetes,Protozoa,Mycetozoa,Dictyosteliomycetes,,,,,CLASS,ACCEPTED
286,Eustigmatophyceae,Chromista,Ochrophyta,Eustigmatophyceae,,,,,CLASS,ACCEPTED
287,Fragilariophyceae,Chromista,Ochrophyta,Bacillariophyceae,,,,,CLASS,SYNONYM
289,Pelagophyceae,Chromista,Ochrophyta,Pelagophyceae,,,,,CLASS,ACCEPTED
290,Entognatha,Animalia,Arthropoda,Protura,,,,,CLASS,SYNONYM
291,Archaeoglobi,Archaea,Halobacteriota,Archaeoglobi,,,,,CLASS,ACCEPTED
292,Thermoprotei,Archaea,Thermoproteota,Thermoproteia,,,,,CLASS,SYNONYM
293,Methanobacteria,Archaea,Methanobacteriota,Methanobacteria,,,,,CLASS,ACCEPTED
294,Thermococci,Archaea,Methanobacteriota_B,Thermococci,,,,,CLASS,ACCEPTED
295,Thermoplasmata,Archaea,Thermoplasmatota,Thermoplasmata,,,,,CLASS,ACCEPTED
296,Aquificae,Bacteria,Aquificota,Aquificae,,,,,CLASS,ACCEPTED
298,Anaerolineae,Bacteria,Chloroflexota,Anaerolineae,,,,,CLASS,ACCEPTED
299,Caldilineae,Bacteria,Chloroflexota,Anaerolineae,,,,,CLASS,SYNONYM
301,Deferribacteres,Bacteria,Deferribacterota,Deferribacteres,,,,,CLASS,ACCEPTED
303,Bacilli,Bacteria,Firmicutes,Bacilli,,,,,CLASS,ACCEPTED
304,Clostridia,Bacteria,Firmicutes_A,Clostridia,,,,,CLASS,ACCEPTED
305,Gemmatimonadetes,Bacteria,Gemmatimonadota,Gemmatimonadetes,,,,,CLASS,ACCEPTED
307,Eurotatoria,Animalia,Rotifera,Eurotatoria,,,,,CLASS,ACCEPTED
308,Calcarea,Animalia,Porifera,Calcarea,,,,,CLASS,ACCEPTED
309,Staurozoa,Animalia,Cnidaria,Staurozoa,,,,,CLASS,ACCEPTED
311,Labyrinthulea,Chromista,Bigyra,Labyrinthulea,,,,,CLASS,ACCEPTED
312,Laboulbeniomycetes,Fungi,Ascomycota,Laboulbeniomycetes,,,,,CLASS,ACCEPTED
313,Arthoniomycetes,Fungi,Ascomycota,Arthoniomycetes,,,,,CLASS,ACCEPTED
314,Lichinomycetes,Fungi,Ascomycota,Lichinomycetes,,,,,CLASS,ACCEPTED
315,Neolectomycetes,Fungi,Ascomycota,Neolectomycetes,,,,,CLASS,ACCEPTED
316,Pezizomycetes,Fungi,Ascomycota,Pezizomycetes,,,,,CLASS,ACCEPTED
317,Schizosaccharomycetes,Fungi,Ascomycota,Schizosaccharomycetes,,,,,CLASS,ACCEPTED
318,Chytridiomycetes,Fungi,Chytridiomycota,Chytridiomycetes,,,,,CLASS,ACCEPTED
319,Myxomycetes,Protozoa,Mycetozoa,Myxomycetes,,,,,CLASS,ACCEPTED
320,Sordariomycetes,Fungi,Ascomycota,Sordariomycetes,,,,,CLASS,ACCEPTED
322,Pinguiophyceae,Chromista,Ochrophyta,Pinguiophyceae,,,,,CLASS,ACCEPTED
326,Andreaeopsida,Plantae,Bryophyta,Andreaeopsida,,,,,CLASS,ACCEPTED
327,Bryopsida,Plantae,Bryophyta,Bryopsida,,,,,CLASS,ACCEPTED
328,Charophyceae,Plantae,Charophyta,Charophyceae,,,,,CLASS,ACCEPTED
329,Chlorophyceae,Plantae,Chlorophyta,Chlorophyceae,,,,,CLASS,ACCEPTED
330,Klebsormidiophyceae,Plantae,Charophyta,Klebsormidiophyceae,,,,,CLASS,ACCEPTED
331,Mesostigmatophyceae,Plantae,Charophyta,Mesostigmatophyceae,,,,,CLASS,ACCEPTED
332,Trebouxiophyceae,Plantae,Chlorophyta,Trebouxiophyceae,,,,,CLASS,ACCEPTED
333,Zygnematophyceae,Plantae,Charophyta,Zygnematophyceae,,,,,CLASS,ACCEPTED
334,Cyanidiophyceae,Plantae,Rhodophyta,Cyanidiophyceae,,,,,CLASS,ACCEPTED
335,Glaucophyceae,Plantae,Glaucophyta,Glaucophyceae,,,,,CLASS,ACCEPTED
336,Prasinophyceae,Plantae,Chlorophyta,Prasinophyceae,,,,,CLASS,ACCEPTED
337,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,CLASS,SYNONYM
339,Epsilonproteobacteria,Bacteria,Campylobacterota,Campylobacteria,,,,,CLASS,SYNONYM
340,Compsopogonophyceae,Plantae,Rhodophyta,Compsopogonophyceae,,,,,CLASS,ACCEPTED
341,Turbellaria,Animalia,Platyhelminthes,Turbellaria,,,,,CLASS,ACCEPTED
342,Florideophyceae,Plantae,Rhodophyta,Florideophyceae,,,,,CLASS,ACCEPTED
343,Rhodellophyceae,Plantae,Rhodophyta,Rhodellophyceae,,,,,CLASS,ACCEPTED
344,Chlorarachniophyceae,Chromista,Cercozoa,Chlorarachniophyceae,,,,,CLASS,ACCEPTED
345,Trematoda,Animalia,Platyhelminthes,Trematoda,,,,,CLASS,ACCEPTED
346,Polyplacophora,Animalia,Mollusca,Polyplacophora,,,,,CLASS,ACCEPTED
347,Monoplacophora,Animalia,Mollusca,Monoplacophora,,,,,CLASS,ACCEPTED
350,Ophiuroidea,Animalia,Echinodermata,Ophiuroidea,,,,,CLASS,ACCEPTED
351,Merostomata,Animalia,Arthropoda,Merostomata,,,,,CLASS,ACCEPTED
352,Scyphozoa,Animalia,Cnidaria,Scyphozoa,,,,,CLASS,ACCEPTED
353,Ostracoda,Animalia,Arthropoda,Ostracoda,,,,,CLASS,ACCEPTED
354,Pycnogonida,Animalia,Arthropoda,Pycnogonida,,,,,CLASS,ACCEPTED
355,Craniata,Animalia,Brachiopoda,Craniata,,,,,CLASS,ACCEPTED
356,Ascidiacea,Animalia,Chordata,Ascidiacea,,,,,CLASS,ACCEPTED
358,Reptilia,Animalia,Chordata,Crocodylia,,,,,CLASS,PROPARTE_SYNONYM
359,Mammalia,Animalia,Chordata,Mammalia,,,,,CLASS,ACCEPTED
360,Chilopoda,Animalia,Arthropoda,Chilopoda,,,,,CLASS,ACCEPTED
361,Diplopoda,Animalia,Arthropoda,Diplopoda,,,,,CLASS,ACCEPTED
362,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,CLASS,ACCEPTED
363,Thermomicrobia,Bacteria,Chloroflexota,Chloroflexia,,,,,CLASS,SYNONYM
364,Thermotogae,Bacteria,Thermotogota,Thermotogae,,,,,CLASS,ACCEPTED
365,Tentaculata,Animalia,Ctenophora,Tentaculata,,,,,CLASS,ACCEPTED
367,Arachnida,Animalia,Arthropoda,Arachnida,,,,,CLASS,ACCEPTED
370,Isocrinida,Animalia,Echinodermata,Crinoidea,Isocrinida,,,,ORDER,ACCEPTED
371,Palaeocopida,Animalia,Arthropoda,Ostracoda,Palaeocopida,,,,ORDER,ACCEPTED
373,Holothyrida,Animalia,Arthropoda,Arachnida,Holothyrida,,,,ORDER,ACCEPTED
375,Neohodgsoniales,Plantae,Marchantiophyta,Marchantiopsida,Neohodgsoniales,,,,ORDER,ACCEPTED
376,Marchantiales,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,,,,ORDER,ACCEPTED
377,Porellales,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,,,,ORDER,ACCEPTED
378,Pleuroziales,Plantae,Marchantiophyta,Jungermanniopsida,Pleuroziales,,,,ORDER,ACCEPTED
379,Pallaviciniales,Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,,,,ORDER,ACCEPTED
380,Metzgeriales,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,,,,ORDER,ACCEPTED
381,Jungermanniales,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,,,,ORDER,ACCEPTED
382,Leiosporocerotales,Plantae,Anthocerotophyta,Leiosporocerotopsida,Leiosporocerotales,,,,ORDER,ACCEPTED
389,Foraminiferida,Chromista,Foraminifera,,,,,,ORDER,SYNONYM
390,Actinophryida,Chromista,Ochrophyta,Raphidophyceae,Actinophryida,,,,ORDER,ACCEPTED
391,Desmothoracida,Chromista,Heliozoa,,Desmothoracida,,,,ORDER,ACCEPTED
392,Polypodiales,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,,,ORDER,ACCEPTED
393,Ophioglossales,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,,,,ORDER,ACCEPTED
394,Marattiales,Plantae,Tracheophyta,Polypodiopsida,Marattiales,,,,ORDER,ACCEPTED
399,Ranunculales,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,,,,ORDER,ACCEPTED
400,Proteales,Plantae,Tracheophyta,Magnoliopsida,Proteales,,,,ORDER,ACCEPTED
404,Piperales,Plantae,Tracheophyta,Magnoliopsida,Piperales,,,,ORDER,ACCEPTED
407,Laurales,Plantae,Tracheophyta,Magnoliopsida,Laurales,,,,ORDER,ACCEPTED
408,Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,,,,ORDER,ACCEPTED
